<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	00:00:00	1.06966	1.07066	1.06929	1.06941	145	0	67
2023.01.02	01:00:00	1.06975	1.06982	1.06974	1.06982	9	0	150
2023.01.02	02:00:00	1.06976	1.07061	1.06916	1.07043	159	0	36
2023.01.02	03:00:00	1.07061	1.07071	1.06832	1.06898	204	0	35
2023.01.02	04:00:00	1.06897	1.06910	1.06830	1.06882	99	0	57
2023.01.02	05:00:00	1.06883	1.07031	1.06882	1.06899	80	0	2
2023.01.02	06:00:00	1.06896	1.07024	1.06884	1.06972	92	0	41
2023.01.02	07:00:00	1.06986	1.06991	1.06783	1.06922	475	0	0
2023.01.02	08:00:00	1.06923	1.06975	1.06717	1.06836	944	0	0
2023.01.02	09:00:00	1.06826	1.06911	1.06631	1.06786	1569	0	0
2023.01.02	10:00:00	1.06787	1.06973	1.06715	1.06799	1171	0	0
2023.01.02	11:00:00	1.06799	1.06980	1.06770	1.06788	1947	0	0
2023.01.02	12:00:00	1.06788	1.06897	1.06745	1.06835	848	0	0
2023.01.02	13:00:00	1.06835	1.06864	1.06802	1.06846	749	0	0
2023.01.02	14:00:00	1.06846	1.06874	1.06768	1.06824	1130	0	0
2023.01.02	15:00:00	1.06825	1.06859	1.06764	1.06781	1231	0	0
2023.01.02	16:00:00	1.06782	1.06820	1.06708	1.06725	923	0	0
2023.01.02	17:00:00	1.06724	1.06737	1.06587	1.06604	1313	0	0
2023.01.02	18:00:00	1.06603	1.06698	1.06515	1.06554	1605	0	0
2023.01.02	19:00:00	1.06553	1.06620	1.06545	1.06601	920	0	0
2023.01.02	20:00:00	1.06601	1.06611	1.06513	1.06525	913	0	0
2023.01.02	21:00:00	1.06530	1.06595	1.06507	1.06563	603	0	0
2023.01.02	22:00:00	1.06564	1.06677	1.06543	1.06610	1039	0	1
2023.01.02	23:00:00	1.06609	1.06714	1.06570	1.06586	219	0	17
2023.01.03	00:00:00	1.06645	1.06658	1.06629	1.06647	142	0	13
2023.01.03	01:00:00	1.06648	1.06835	1.06502	1.06767	3154	0	0
2023.01.03	02:00:00	1.06767	1.06785	1.06667	1.06706	2457	0	0
2023.01.03	03:00:00	1.06706	1.06743	1.06505	1.06599	4715	0	0
2023.01.03	04:00:00	1.06599	1.06778	1.06577	1.06766	2992	0	0
2023.01.03	05:00:00	1.06765	1.06785	1.06688	1.06724	2408	0	0
2023.01.03	06:00:00	1.06726	1.06802	1.06669	1.06673	1767	0	0
2023.01.03	07:00:00	1.06672	1.06708	1.06591	1.06637	2609	0	0
2023.01.03	08:00:00	1.06636	1.06678	1.06515	1.06522	3208	0	0
2023.01.03	09:00:00	1.06530	1.06587	1.06200	1.06237	4488	0	0
2023.01.03	10:00:00	1.06237	1.06282	1.05508	1.05518	8992	0	0
2023.01.03	11:00:00	1.05516	1.05609	1.05341	1.05476	7706	0	0
2023.01.03	12:00:00	1.05477	1.05548	1.05254	1.05310	5646	0	0
2023.01.03	13:00:00	1.05310	1.05360	1.05194	1.05283	4079	0	0
2023.01.03	14:00:00	1.05283	1.05490	1.05241	1.05356	4456	0	0
2023.01.03	15:00:00	1.05354	1.05699	1.05304	1.05602	6742	0	0
2023.01.03	16:00:00	1.05603	1.05972	1.05552	1.05741	7351	0	0
2023.01.03	17:00:00	1.05746	1.05821	1.05547	1.05554	8949	0	0
2023.01.03	18:00:00	1.05555	1.05588	1.05373	1.05580	6166	0	0
2023.01.03	19:00:00	1.05580	1.05591	1.05401	1.05462	3639	0	0
2023.01.03	20:00:00	1.05462	1.05607	1.05432	1.05566	2535	0	0
2023.01.03	21:00:00	1.05567	1.05683	1.05552	1.05663	3191	0	0
2023.01.03	22:00:00	1.05665	1.05688	1.05506	1.05516	3872	0	0
2023.01.03	23:00:00	1.05515	1.05539	1.05462	1.05486	1526	0	0
2023.01.04	00:00:00	1.05455	1.05476	1.05444	1.05470	3801	0	11
2023.01.04	01:00:00	1.05470	1.05540	1.05407	1.05456	2506	0	0
2023.01.04	02:00:00	1.05456	1.05612	1.05452	1.05581	2461	0	0
