feature,importance
last_value_log1p,3403152.0621982757
value_median_log1p,0.4561051204782416
value_near_season_start_log1p,0.26162141790189253
value_min_log1p,0.1928352252635932
value_max_log1p,0.0839000960836529
goals,0.07506894392668073
value_mean_log1p,0.06322280619872345
value_std_filled_log1p,0.05629192755270651
value_change_pct,0.0549168998290952
last_club_id,0.054147018237927114
transfers_max_fee,0.039067499654493076
target_log1p_lag1_diff,0.031609403681159165
transfers_sum_fee,0.027549737471076696
appearances_count,0.0229912424468921
yellow_cards,0.022750097859102425
value_std_filled,0.01766446428382551
assists_scaled,0.017421664458083796
assists_lag1,0.01377322245105006
mean_minutes_scaled,0.012492198341192307
age_at_season_start,0.010004575291532092
goals_lag1,0.008565848594230374
appearances_count_lag1,0.0036171307048107337
minutes_per90,0.0035008478528197884
age_x_mins_scaled,0.002962099898240922
total_minutes_lag1,0.0014362356909032314
starts_estimate,0.0006911998082159698
red_cards,0.0005942221969235106
distinct_competitions_count,0.0004928699318043073
snapshots_count,0.0003331900601324378
last_from_club_id,0.0002520420413247848
last_to_club_id,0.0002472070411840832
last_transfer_fee,0.00022350136521254171
mean_minutes,0.00018820143850462046
age_x_mins,0.00012638736188819166
total_minutes_scaled,9.510361928732891e-05
transfers_mean_fee,8.255628006281768e-05
mean_rating_after,5.392957996264158e-05
last_fee_to_target_ratio,3.419231984480575e-05
current_club_id,1.6592909673818212e-05
max_fee_to_target_ratio,4.9392201617592946e-06
first_value_log1p,0.0
value_near_season_end_log1p,0.0
target_eur,0.0
value_max,0.0
last_value,0.0
value_near_season_end,0.0
mean_rating_before,0.0
assists,0.0
total_minutes_lag1_missing,0.0
target_log1p_lag1_missing,0.0
goals_lag1_missing,0.0
appearances_count_lag1_missing,0.0
value_median,0.0
value_min,0.0
appearances_count_scaled,0.0
first_value,0.0
value_near_season_start,0.0
value_mean,0.0
total_minutes,0.0
assists_lag1_missing,0.0
goals_scaled,0.0
transfers_sum_fee_scaled,0.0
first_club_id,0.0
minutes_per_appearance,0.0
minutes_per_appearance_scaled,0.0
sum_fee_to_target_ratio,0.0
age_at_season_start_scaled,0.0
age_sq_scaled,0.0
transfers_missing_fee,0.0
age_sq,0.0
sb_xg_per_shot,0.0
sb_pass_completion,0.0
sb_goals_per_shot,0.0
avg_days_out_missing,0.0
num_unique_injury_types,0.0
num_injuries,0.0
